"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"15478" -7.49837343269739 -1.76511376197051 7.44747824510112e-07 0.000413091859640007 "ENSMUSG00000047759"
"54672" -7.49837343269739 -1.76511376197051 7.44747824510112e-07 0.000413091859640007 "ENSMUSG00000060470"
"269109" -1.48019247410095 1.31507040629584 7.75618830567606e-07 0.000419547880201168 "ENSMUSG00000036815"
"319776" -1.24399476439505 2.38139981659396 7.87260086473365e-07 0.000419547880201168 "ENSMUSG00000048108"
"20377" -1.03762970321359 5.49024719883921 9.40268291310347e-07 0.000491452920952383 "ENSMUSG00000031548"
"80979" 1.57519508143502 0.84367353672654 9.80301110762844e-07 0.00050270950734761 "ENSMUSG00000029015"
"75369" -2.84905744536895 -0.850287265771089 1.33120745835087e-06 0.000635049922154323 "ENSMUSG00000105773"
"22295" 7.5016885944725 -1.92910548415813 1.35519686099381e-06 0.000635049922154323 "ENSMUSG00000012819"
"228139" -7.43981215659896 -1.81437267301023 1.35519686099381e-06 0.000635049922154323 "ENSMUSG00000027071"
"66901" -7.43981215659896 -1.81437267301023 1.35519686099381e-06 0.000635049922154323 "ENSMUSG00000031445"
"22376" -7.43981215659896 -1.81437267301023 1.35519686099381e-06 0.000635049922154323 "ENSMUSG00000031165"
"229933" -1.3955512637825 1.40251276694813 1.58621757601248e-06 0.00073070860166853 "ENSMUSG00000036960"
"14275" -1.77156722386385 0.399916520424141 1.87972580680923e-06 0.000844946077886202 "ENSMUSG00000001827"
"12805" -1.01742658643636 5.00267678666116 1.89637995331169e-06 0.000844946077886202 "ENSMUSG00000055022"
"242022" -1.24472751410124 2.06135704747925 2.12240488677187e-06 0.000930400684154397 "ENSMUSG00000037016"
"20451" 7.4281069267625 -1.99248536421551 2.47519426677382e-06 0.00103497392271762 "ENSMUSG00000056812"
"209540" 7.4281069267625 -1.99248536421551 2.47519426677382e-06 0.00103497392271762 "ENSMUSG00000085584"
"69069" -7.37877284351407 -1.86543383543355 2.47519426677382e-06 0.00103497392271762 "ENSMUSG00000041707"
"12007" 2.58990589578765 -0.833642904359478 2.72407341209775e-06 0.00112178168586977 "ENSMUSG00000037053"
"12931" -2.34856904119199 -0.482495295282126 2.80339504356252e-06 0.00113721602819382 "ENSMUSG00000007888"
"75677" -1.22507347126791 2.01978093484239 2.92622418449085e-06 0.00116958598691584 "ENSMUSG00000038064"
"328789" 1.6885373825093 0.338710518683403 3.86049535831406e-06 0.00149892004776597 "ENSMUSG00000062252"
"329152" -1.71450189054638 0.357235406775692 3.99665158279134e-06 0.001529929484066 "ENSMUSG00000042807"
"380674" 7.35056973184627 -2.05866083240103 4.53785615575199e-06 0.00158121015970748 NA
